MED_DIRECTIONS,FREQUENCY
1 capsule by mouth every 6 hours for 7 days,359
"(Also Known As Nicoderm CQ) 1 patch on dry, cleaned skin daily for 4 weeks",358
200 mg 1 tab by mouth daily,358
Use as directed to test Blood Sugars 4-6 x per day.,358
1000mg once a day,358
1 tablet by mouth every morning and 2 tablets by mouth every evening,358
1 drop operative eye four times a day for 7 days,358
50 MCG orally daily,358
10mg. tablet one tablet by mouth once daily,357
20 mg one tablet daily by mouth,357
12.5mg as needed,357
(Also Known As Percocet) 1 tablet by mouth every 4 hours for 5 days as needed for pain,357
inhaler 2 puffs twice daily,357
                 1 tablet by mouth twice a day               ,357
4.5 milliliters (360 mg) by mouth twice a day for 10 days,357
(Also Known As Zofran (as hydrochloride)) 1 tablet by mouth twice a day as needed for nausea,356
75mg 1 tablet by mouth twice daily,356
(Also Known As MS Contin) 1 tablet by mouth every 8 hours,356
1000 units daily by mouth ,356
10 milliliters by mouth every 6 hours for 5 days as needed for cough,356
(Also Known As Maxalt) 1 tablet by mouth at the first sign of symptoms as needed for headache,356
500mg tablet by mouth daily,356
(Also Known As Singulair) 1 chewable tablet by mouth every evening at bedtime,356
650 mg orally every 8 hours,356
(Also Known As Lipitor) 1 tablet by mouth every evening at bedtime for 90 day(s),356
40mg 1 cap by mouth daily,356
10mg orally as needed,356
60mg 1 by mouth daily,355
4 tablets by mouth every evening at bedtime,355
50mg by mouth three times daily,355
Voltaren Gel 1% 100 gram tube apply 2 grams 4 times a day,355
80mg one tablet by mouth daily,355
"inject 1 milliliter (1,000 mcg) by intramuscular route once a month",355
1 tablet by mouth every 4 hours for 3 day(s) as needed for pain,355
1-2 sprays in each nostril twice a day,355
(Also Known As Tenex) 1 tablet by mouth twice a day,355
10mg 1 tab po qd ,355
200mg 2 tablets by mouth as needed,355
one tablet a day po,354
15mg once daily by mouth,354
350 mg orally every 6 hours as needed,354
(Also Known As Ativan) 1 tablet by mouth one time only,354
1 capsule twice daily,354
(Also Known As Cipro) 1 tablet by mouth daily,354
(Also Known As CellCept) 2 tablets by mouth every 12 hours,354
20mg one tab po daily,354
50mg tablet by mouth once daily ,354
500mcg 1 tablet by mouth daily,354
(Also Known As Demadex) 1 tablet by mouth twice a day,353
ONE A DAY BY MOUTH,353
20mg by mouth  daily,353
use as instructed,353
(Also Known As Lasix) 0.5 tablet by mouth daily,353
100mg orally twice daily,353
1 tablet by mouth q6-8h for 5 days as needed for pain,353
100mg tablet by mouth once daily ,353
"(Also Known As Nicoderm CQ) 1 patch on dry, cleaned skin daily for 14 days",353
150 mg orally once daily,353
"apply to clean, dry face every night",353
10 mg one tab daily by mouth,353
1000 mg one orally daily,353
(Also Known As Ziac) 1 tablet by mouth daily,353
500 mg daily by mouth,352
500mg one by mouth twice daily,352
500mg 1 tab daily by mouth,352
1 milliliter (25 mg) subcutaneously every week,352
10mg 1 tablet by mouth at night,352
25 mg one orally twice daily,352
"2 puffs from the inhaler every 4 hours as needed for wheezing, shortness of breath",351
evaluate and treat,351
10 milligrams into the rectum as directed one time only as needed for seizures lasting more than 5 minutes,351
20 MG in tube daily,351
(Also Known As Mevacor) 1 tablet by mouth every evening at bedtime,351
prn constipation,351
400mg by mouth as needed,351
(Also Known As Naprosyn) 2 tablets by mouth at the first sign of symptoms as needed for headache,351
125mg tablets by mouth twice a day,351
(Also Known As Aricept) 1 tablet by mouth every morning,351
4 chewable tablets by mouth one time only as needed for hypoglycemia,350
0.5mg by mouth at bedtime ,350
25mg orally as needed,350
one by mouth once a day,350
2.5 milliliters by mouth twice a day,350
2 puffs from the inhaler 4-6 hours as needed for shortness of breath,350
(Also Known As Cozaar) 1 tablet by mouth daily for 90 day(s),350
(Also Known As Topamax) 2 tablets by mouth every evening at bedtime,350
injections monthly,350
1 capsule by mouth three times a day as needed for pain,350
30mg 1 by mouth daily,350
2 tablets by mouth at bedtime,350
5.5 milliliters (440 mg) by mouth twice a day for 10 days,350
150 mg twice a day,350
0.4 mg 1 tablet by mouth daily,350
1000mg orally twice daily,350
(Also Known As Norco) 1-2 tablets by mouth every 4 hours as needed for pain,349
wash the affected area(s) by topical route once daily,349
(Also Known As Marinol) 1 capsule by mouth twice a day,349
300 mg orally twice daily,349
"30 mg orally once daily, at bedtime",349
300mg PO twice daily,349
800mg twice daily,349
1 spray in each nostril twice daily,349
(Also Known As Atrovent) 2 sprays in each nostril three times a day,349
0.3 milligrams intramuscularly one time only as needed,349
(Flonase) 2 spray in each nostril daily,349
(Also Known As Norco) 1 tablet by mouth every 4 hours for 2 days as needed for pain,349
50 units subcutaneously every evening at bedtime,349
(Also Known As Diflucan) 1 tablet by mouth one time only for 1 day,349
60 mg twice daily,348
30mg orally daily,348
8mg by mouth daily,348
"take 2 pills by mouth for 5 days in the morning, then 1 pill by mouth for 5 days in morning",348
25 mg one by mouth twice a day,348
injection every 6 months,348
6.25 mg by mouth twice daily,348
Please discard in proper sharps container after each use.,348
1200MG DAILY BY MOUTH,348
1mg 1 tablet by mouth twice daily,348
1 syringe subcutaneously every week,348
(Also Known As Augmentin ES-600) 5 milliliters by mouth twice a day for 10 days,348
Apply 4 grams to affected area three times a day,348
(Also Known As Paxil) 1 tablet by mouth every evening at bedtime,348
1 vaginal ring into the vagina as directed every month,348
(Voltaren) 1 tablet by mouth twice a day,347
"50 mcg/actuation nasal spray,suspension (Also Known As Flonase) 2 sprays in each nostril daily as needed",347
4 mg 1 tablet by mouth daily,347
75mg 1 by mouth daily,347
1 tablet by mouth three times a day for 5 days as needed for bladder spasms,347
(Also Known As Cleocin HCl) 1 capsule by mouth three times a day for 10 days,347
(Also Known As Percocet) 1 tablet by mouth every 6 hours for 7 days as needed for pain,347
2 puffs from the inhaler every 4 hours for 3 days as needed for cough,347
0.5 gram into the vagina twice a week,347
(Also Known As Zofran (as hydrochloride)) 1 tablet by mouth every 6 hours as needed for nausea,347
(Norco) 1 tablet by mouth every 6 hours as needed for pain,346
300 mg one tab by mouth daily,346
to be used to check BG 4x/day,346
7.5mg by mouth as needed,346
"Physical therapy evaluation and treatment with myofascial release of the neck, shoulders, and upper back. Diagnosis: cervicalgia (M54.2), 1-2 visits per week for 6-12 weeks.",346
1 tablet by mouth every 4 hours for 7 days,346
25 mg 1/2 tablet by mouth daily,346
(Also Known As Diflucan) 1 tablet by mouth daily for 1 day(s),346
(Also Known As Sarafem) 1 tablet by mouth every morning,346
50 mg twice daily by mouth,346
Or Premarin cream 0.625 mg fingertip amount vaginally twice a week at bedtime,346
apply a small amount to the affected area by topical route 3 times per day for 5 days,346
(Lasix) 1 tablet by mouth twice a day,346
325mg tablet by mouth daily,346
1 APPLICATION twice daily for until discontinued,346
145 mg by mouth daily,346
10mg by mouth at night,345
10 milliliters by mouth every 4 hours as needed for cough,345
1 milligram injection prn,345
40mg Tablets take 1 tablet by mouth daily,345
1000 IU daily by mouth,345
inhaler 2 puffs every 4 hours as needed,345
 one tablet by mouth daily,345
2 tablets by mouth every 6 hours for 7 days as needed for pain,345
1 tablet by mouth q6h prn for 3 days as needed for pain,345
1 capsule by mouth twice a day for 30 day(s) as needed for constipation,345
(Also Known As Cozaar) 1 tablet by mouth every morning,345
500 mg once daily by mouth ,345
(Also Known As Flagyl) 1 tablet by mouth every 8 hours for 14 days,344
10 mg tablet (Also Known As Norvasc) 1 tablet by mouth daily,344
(Also Known As Keppra) 5 milliliters (500 mg) by mouth twice a day,344
125 mcg 1 tablet by mouth daily,344
300 mg by mouth three times daily,344
5mg 1 tablet by mouth twice a day,344
20mg one by mouth at bedtime,344
Apply twice daily as needed,344
200mg po twice daily,344
(Also Known As Lasix) 1 tablet by mouth daily as needed for swelling,343
300 MG orally at bedtime,343
500mg by mouth three times daily,343
(Also Known As Terazol 7) 1 applicatorful into the vagina as directed daily for 7 days,343
(Also Known As Prilosec) 1 capsule by mouth twice a day for 14 days,343
50 mg orally every 8 hours,343
10mg once by mouth daily,343
100 mcg tablet 1 tablet by mouth daily,343
1 injection intramuscularly one time only as needed for anaphylaxis,343
150mg 1 tab po daily,342
(Norco) 1 tablet by mouth every 4 hours as needed for pain,342
325mg 1 by mouth daily,342
1 drop in eyes as directed every 6 hours for 7 days,342
Take by mouth daily.,342
take 1 tab at onset of headache. may repeat in 2 hours. Do not exceed 200mg per 24 hours. Do not take greater than 3 times per week.,342
Test 6 times daily,342
5mg po twice daily,341
(Also Known As Zofran (as hydrochloride)) 1 tablet by mouth q8h prn as needed for nausea,341
15mg 1 tab daily,341
(Also Known As Zonegran) 2 capsules by mouth every evening at bedtime,341
(Also Known As Zofran ODT) 1 tablet on the tongue every 8 hours for 2 days,341
100 mcg One tablet by mouth daily,341
2000 iu daily by mouth ,341
1000 mg orally twice daily with meals,341
4 strips miscellaneous daily,341
(Also Known As Lortab) 1 tablet by mouth every 4 hours for 14 days as needed for pain,341
1 tablet every 4 hours as needed for until discontinued,341
10 tablets by mouth every week,341
1mg one by mouth daily,341
600 mg orally every 6 hours as needed prn cramping,340
2 tablets by mouth twice a day for 30 day(s),340
(Also Known As Prograf) 2 capsules by mouth every 12 hours,340
1 tab PO twice daily,340
apply to the affected area(s) by topical route once daily ; rub in gently and completely,340
50mg Take one tablet daily,340
0.3 milliliters intramuscularly one time only as needed for anaphylaxis,340
(Also Known As Zofran ODT) 0.5 tablet on the tongue every 8 hours for 2 day(s) as needed for vomiting,340
12.5 mg tablet (Also Known As Coreg) 1 tablet by mouth twice a day,340
200 MG orally twice daily,340
1 milliliter (140 mg) subcutaneously every other week,340
15mg by mouth at bedtime,340
"take 1 tablet (8 mg) and place on top of the tongue where it will dissolve, then swallow by oral route every 8 hours",340
"81mg,1 by mouth daily.",340
(Also Known As Pyridium) 1 tablet by mouth three times a day for 3 days as needed for burning with urination,340
10meq 1 tab by mouth daily ,340
1 tablet by mouth daily for thirty day(s),339
30mg once daily by mouth,339
as needed as directed,339
1000 mg PO twice daily,339
(Also Known As Zofran (as hydrochloride)) 1 tablet by mouth every 6 hours for 5 days as needed for nausea,339
1 cap daily by mouth,339
(Also Known As Provigil) 1 tablet by mouth daily,339
17 gram by mouth daily for 30 day(s),339
81 mg tablet once daily,339
Apply twice daily to affected area.,339
1000mcg 1 tab by mouth daily,339
(Also Known As Procardia XL) 1 tablet by mouth twice a day,339
(Also Known As Flomax) 1 capsule by mouth daily for 10 days,339
25mg orally twice daily,339
(Also Known As Timoptic) 1 drop in the left eye twice a day,339
800mg three times daily,339
(Also Known As Zestoretic) 1 tablet by mouth every morning,339
200 mg one by mouth daily,338
30mg 1 capsule by mouth daily,338
(Also Known As Prograf) 3 capsules by mouth twice a day,338
2 sprays each nostril as needed,338
40mg 1 tablet by mouth daily at bedtime,338
1 drop in both eyes twice daily,338
200mg 1 tab by mouth twice daily ,338
81 mg tablet 1 tablet by mouth daily,338
taken as directed,338
2 puffs every four hours as needed,338
1 tablet by mouth daily for seven days,337
1 tablet by mouth every 8 hours for 14 days as needed for muscle spasms,337
1 lancet miscellaneous daily,337
25 mg one tablet daily,337
60mg one by mouth daily,337
x mg take one tablet a day,337
15 mg one by mouth daily,337
25 mg by mouth at bedtime,337
40mg tablet once daily,337
10mg 1 tablet by mouth at bedtime as needed,337
40 mg po twice daily,337
20 mg po twice daily,337
500mg 2 tablets by mouth as needed,337
81 mg by mouth once a day,337
(Also Known As Neurontin) 1 capsule by mouth every evening,337
2-4 puffs from the inhaler every 4 hours for 10 days as needed for wheezing,337
1 puff from the inhaler every four or six hours as needed for wheezing,336
one tablet at bedtime,336
as needed for wheezing,336
1 gram topical every 8 hours,336
180 mg one tablet by mouth daily,336
(Also Known As Ativan) 1 tablet by mouth three times a day,336
400mg daily by mouth,336
1000iu 1 tablet by mouth daily,336
4mg 1 tablet by mouth as needed,336
(Also Known As Pulmicort) 2 milliliters (0.5 mg) from the inhaler twice a day,336
(Also Known As Glucophage XR) 1 tablet by mouth every evening,336
20 mg by mouth 1 time a day,336
300 mg at bedtime,336
50 MG orally twice daily,336
5mg  1 tab by mouth once daily,336
50mg three times daily,336
40mg 1 tab by mouth at night,335
4 mg every 6 hours as needed for until discontinued,335
(Also Known As Lasix) 1 tablet by mouth daily as needed,335
"80 mg orally four times daily, as needed",335
65mg by mouth daily,335
20/12.5 mg by mouth daily,335
10mg by mouth daily at bedtime,335
81mg tablet daily,335
30 mg once a day,335
(Also Known As Cleocin) 3 capsules by mouth every 8 hours for 10 days,335
150mg once a day,335
2 puffs q6hrs x 24 hrs then prn wheezing every 6 hrs,335
500mg 1 tab. by mouth daily,334
Two tablets today then 1 daily for 4 days,334
apply to affected areas 2 times a day for 2 weeks at a time,334
1 tablet by mouth everyevening,334
15 mg twice daily,334
2 gummies by mouth once daily,334
(Also Known As Aldactazide) 1 tablet by mouth daily,334
as needed orally,334
1 po twice a day,334
10 mg take one tablet by mouth daily,334
20mg take one by mouth daily,333
1 APPLICATION TOPICAL twice daily as needed,333
300 mg 1 tablet by mouth twice daily,333
3.125 mg by mouth twice daily,333
40 mg one tablet by mouth per day,333
1 teaspoon by mouth daily,333
20 mg twice daily for until discontinued,333
2.5 milliliters by mouth daily,332
50 mg po twice daily,332
1 tablet by mouth daily for 31 days,332
5 test strips miscellaneous daily,332
"10 un sub cutaneous once daily, at bedtime",332
1 spray in each nostril every evening at bedtime,332
(Also Known As Zoloft) 0.5 tablet by mouth daily,332
25mg tablet by mouth once daily ,332
150 mg orally daily,332
by mouth as directed when needed,332
1 drop in each eye as needed,332
1 tablet by mouth every 4 hours for 4 days as needed for pain,332
take 1 tablet (1 gram) by oral route 4 times per day on an empty stomach 1 hour before meals and at bedtime,332
30 milliliters (20 gram) by mouth twice a day,332
apply to affected areas daily,331
injection weekly,331
325mg 1 tablet daily,331
(Also Known As Aralen) 1 tablet by mouth every week,331
2 puffs from the inhaler four times a day for 7 days as needed for shortness of breath,331
15 mg orally every twelve hours,331
1 tablet by mouth q36h as needed,331
1000 mg tablet by mouth daily,331
200mg 1 by mouth daily,331
apply 2 gram to the affected area(s) by topical route 4 times per day as needed,331
60 mg one tab by mouth daily,330
60 mg by mouth twice daily,330
5000mg by mouth daily,330
"6 mg orally once daily, at bedtime",330
1 drop in eyes as directed daily as needed,330
500mg orally every twelve hours,330
10mg  1 tablet by mouth daily,330
(Also Known As Deltasone) 1 tablet by mouth twice a day for 3 days,330
100 MG in tube twice daily,329
"take 2 capsules (4 mg) by oral route after 1st loose stool, followed by 1 capsule after each subsequent loose stool not to exceed 16 mg/day",329
2 lancets miscellaneous daily,329
7.5 milligrams into the rectum as directed one time only as needed for seizures lasting more than 5 minutes,329
(Also Known As Klonopin) 1 tablet by mouth daily,329
500mg one tablet twice daily,329
5mg three times daily,329
(Also Known As Cleocin) 1 capsule by mouth three times a day for 5 days,329
1200mg 1 capsule by mouth daily,329
100 mg 1 tablet twice daily,329
(Also Known As Lamictal XR) 1 tablet by mouth twice a day,329
4 milliliters (200 mg) by mouth daily for 10 days,328
by mouth at bedtime as needed,328
5mg Take one tablet by mouth daily,328
2000units by mouth daily,328
10 mg by mouth twice a day,328
"10mg orally once daily, in the morning",328
3 milliliters using a nebulizer every 4 hours as needed for shortness of breath,328
81 MG take one tablet daily,328
1capsule oral daily,328
40mg po at bedtime,328
0.25mg by mouth as needed,328
(Also Known As Coreg) 0.5 tablet by mouth twice a day,328
Assessment and treatment for ABA services,328
(Also Known As Keppra) 1.5 tablets by mouth twice a day,328
1 tablet by mouth every 6 hours for 2 days,328
25 mg orally twice daily,328
100mg 1 tablet by mouth as needed,327
500 mg once a day,327
60mg orally daily,327
miscellaneous continuous,327
"325 mg orally twice daily, at 10:00 and 18:00",327
25mg one tablet twice daily,327
14 mg TOPICAL once daily,327
Apply to face daily,327
15 mg orally daily,327
300mg 1 tab po daily,327
300mg oral daily,327
Take 2 tablets by mouth daily,327
10mg at bedtime as needed,327
2 tablets by mouth twice a day for 21 days,327
3 drops in each affected ear three times a day for 7 days,326
0.25 mg by mouth daily,326
(Also Known As Timoptic) 1 drop in the right eye twice a day,326
20mg daily as needed,326
1 tablet sublingually every 8 hours as needed for abdominal pain,326
30 MG orally every 8 hours,326
1 capsule by mouth twice a day for 14 day(s),326
2 mg one tablet by mouth daily,326
(Also Known As Valtrex) 1 tablet by mouth twice a day for 5 days,326
"Take one at night for three days, then two at night for three days, then three at night",326
one tablet daily as needed,326
25mg three times daily,326
80 mg by mouth once daily,326
20mg three times daily,326
75mg orally daily,326
1000 mg i po daily,326
(Zofran) 1 tablet by mouth every 8 hours as needed for nausea,325
50 mg one by mouth twice a day,325
(Also Known As Mobic) 1 tablet by mouth daily for 1 month,325
1000 IU one tablet by mouth daily,325
(Also Known As Ceftin) 1 tablet by mouth twice a day for 7 days,325
(Also Known As Flomax) 1 tablet by mouth daily,325
1 tablet by mouth daily prn,325
100 mg po twice daily,325
(Also Known As Polytrim) 1 drop in eyes as directed three times a day for 7 days,324
oint. apply to affected areas twice daily,324
2 capsules by mouth twice daily,324
1000mg one tablet by mouth twice daily,324
100 mcg po daily,324
600mg by mouth twice a day,324
(Also Known As Corgard) 1 tablet by mouth every evening at bedtime,324
1 drop in the right eye three times a day for 30 days,324
apply to the affected area(s) by topical route 2 times per day for 4 weeks,324
81mg 2 tablets by mouth daily,324
20 mg twice daily by mouth,324
200 mg oral as needed ,324
(Also Known As Lamisil) 1 tablet by mouth daily for 14 days,324
20mg 1 cap by mouth daily,324
10mg 1 tab at bedtime,323
(Also Known As Nasacort AQ) 2 spray in each nostril daily,323
x mg by mouth as needed,323
1 tablet by mouth daily for 5 day(s),323
"2.5 mg orally once daily, at bedtime",323
75 mcg once daily,323
200 MG orally every 8 hours,323
(Also Known As Wellbutrin SR) 1 tablet by mouth every morning,323
(Also Known As Adderall) 1 tablet by mouth twice a day,323
30 mg 1 tab by mouth daily,323
(Also Known As Neurontin) 1 capsule by mouth every evening at bedtime for 30 day(s),323
apply a thin layer to the affected area(s) by topical route 2 times per day (face) until well healed,323
325 mg 1 tablet by mouth once daily,323
1-2 tablets by mouth daily as needed,323
2000 UN orally daily,322
4 mg twice daily,322
75 mcg orally daily,322
0.5 mg once daily,322
500mg by mouth once a day,322
"Evaluation and treatment x 30 days, gait and balance training, ICD10: R26.81 - abnormality of gait",322
sublingual daily,322
two tablets by mouth as needed and directed,322
Take as directed in dose pack,322
1 suppository into the rectum as directed twice a day for 14 days,322
(Also Known As Deltasone) 2 tablets by mouth daily for 5 day(s),322
inhaler - as directed as needed,322
25mg take 1 tablet by mouth daily,322
test BG 6-8x per day,322
one daily as needed,322
1000 IU by mouth once daily,322
4 mg every 6 hours as needed,321
40 mg  Take 1 tablet by mouth daily,321
2 sprays once daily,321
(Also Known As Augmentin) 1 tablet by mouth twice a day for 7 day(s),321
7.5 mg as needed,321
(Also Known As Valium) 1 tablet by mouth three times a day,321
(Also Known As Lamictal) 2 tablets by mouth daily,321
1 drop in the left eye bid after surgery,321
1 tablet by mouth PRN,321
50mg orally once daily,321
(plavix) 75 mg orally once daily,321
200mg 1 tablet by mouth as needed,320
(Also Known As Uroxatral) 1 tablet by mouth daily,320
3 tablets by mouth daily for 3 days,320
(Also Known As Tessalon Perles) 1 capsule by mouth three times a day for 5 days as needed for cough,320
2.5 milliliters (2.5 mg) using a nebulizer daily,320
5 milliliters (10 mg) by mouth daily,320
10 meq one tablet by mouth daily,320
4 capsules by mouth twice a day,320
5 mg twice a day,320
x mg take one tablet daily,320
240mg 1 tablet by mouth daily,320
650 mg orally every 4 hours as needed for pain,320
(Also Known As Toprol XL) 1.5 tablets by mouth daily,320
3 milliliters by mouth twice a day,320
(Paxil) 1 tablet by mouth daily,319
(Also Known As Flagyl) 4 tablets by mouth one time only,319
80 mg twice daily,319
150mg 1 tab daily,319
20meq once daily,319
40 mg tablet 1 tab by mouth daily,319
"0.4 mg orally once daily, in the morning",319
40mg by mouth  daily,319
(Also Known As Lotensin HCT) 1 tablet by mouth daily,319
(Naprosyn) 1 tablet by mouth twice a day,319
20 mEq once daily,319
(Also Known As Bentyl) 1 capsule by mouth four times a day,319
(Also Known As Klor-Con M10) 1 tablet by mouth twice a day,319
2 spray from the inhaler every 4 hours as needed,319
5 milliliters by mouth every evening at bedtime for 7 days as needed for cough,319
(Also Known As Bactrim DS) 1 tablet by mouth twice a day for 5 day(s),319
150 mg 1 tab by mouth daily,318
1 spray in each nostril twice a day for 7 days,318
1000 mcg one tablet by mouth daily,318
oral tablet daily,318
1 tablet by mouth every 8 hours for 14 days as needed for nausea,318
5 milliliters (5 mg) by mouth daily for 30 day(s),318
2 tablets as needed,318
1 tablet by mouth every 12 hours as needed for constipation,318
1 milligram intramuscularly one time only as needed for severe hypoglycemia,318
"apply to the affected area(s), lather, leave in place for 5 minutes, and then rinse off with water by topical route once daily",317
100 MCG orally daily,317
1 mg one by mouth daily,317
1 spray in the nose daily,317
2 tablets by mouth every week,317
both eyes as needed,317
25mg  1 tab by mouth once daily,317
160mg 1 tab by mouth daily,316
(Also Known As Flexeril) 1 tablet by mouth three times a day,316
one by mouth at bedtime,316
25 mg 1 tablet twice daily,316
2000 units po daily,316
10mg one tablet daily by mouth,316
1000 mg twice daily by mouth,316
81mg po 1 tab. daily,316
4 mg by mouth as needed,316
15 milliliters (1200 mg) by mouth daily for 10 days,316
"50,000 IU weekly",316
as needed at bedtime,316
(Also Known As Norco) 1 tablet by mouth every 6 hours for 3 day(s) as needed for pain,316
5 mg orally every 8 hours,316
OTC by mouth daily as needed,316
2 tablets po daily,315
65mg 1 tablet by mouth daily,315
1 tablet by mouth every 6 hours for 1 day as needed for pain,315
325mg orally daily,315
1000 mg 1 tab daily,315
0.25 mg orally once daily,315
3 milliliters by mouth daily,314
500 mg 2 tablets by mouth twice daily,314
1 tablet by mouth every 12 hours for 30 day(s),314
325 mg once daily by mouth,314
(Also Known As Ultram) 1 tablet by mouth every 6 hours for 3 days as needed for pain,314
(Also Known As Maxalt-MLT) 1 tablet by mouth at the first sign of symptoms as needed for headache,314
20 mg tab by mouth daily,314
20 mg by mouth daily as needed,314
20 mg tablet (Also Known As Lasix) 1 tablet by mouth daily,314
0.5 tablet by mouth every 8 hours as needed for muscle spasms,314
600mg 1 po daily,314
12.5mg 1 po daily,314
1 tablet by mouth every four or six hours for 5 days as needed for pain,314
1 drop in the right eye bid after surgery,313
1 milliliter subcutaneously every week,313
20mg 1 po twice daily,313
6 tablets by mouth daily,313
(Also Known As Zofran ODT) 1 tablet on the tongue every 8 hours for 2 day(s),313
1 tablet by mouth daily for 60 day(s),313
1200 mg once daily,313
(Also Known As Diflucan) 1 tablet by mouth daily for 5 days,313
100mg 1 capsule by mouth daily,313
1 by mouth every day,312
300MG (Oral Tablet) PO QD,312
1 capsule by mouth every 8 hours for 7 days as needed for cough,312
15 MG orally every 8 hours,312
45mg by mouth daily,312
5 milliliters by mouth every 6 hours for 5 days as needed for pain,312
75 mg 1 tablet once daily,312
(Also Known As Macrodantin) 1 capsule by mouth twice a day for 5 days,312
(Neurontin) 1 capsule by mouth every evening at bedtime,312
"(Duragesic) 1 patch on dry, cleaned skin every three days",312
800mg by mouth three times daily,312
5 MG orally every 4 hours as needed for pain,311
1 APPLICATION twice daily,311
(Also Known As Celexa) 1 tablet by mouth every evening,311
400mg by mouth once daily,311
1 capsule by mouth three times a day for 7 day(s) as needed for cough,311
5 mg 1 tablet by mouth at bedtime,311
2 sprays twice daily,311
10 mg one tablet by mouth every day,311
(Also Known As Zyprexa) 1 tablet by mouth daily,311
2 tablets by mouth every evening at bedtime as needed for insomnia,311
1 capsule by mouth every 6 hours as needed for headache,311
1000mg 1 tab daily by mouth,311
1 mg orally three times daily,311
12 day dose pack. Take as directed.,311
17 grams by mouth twice a day,310
One tablet PO bid; do not take on an empty stomach.,310
10mg orally twice daily,310
2000mg once daily,310
(Also Known As Xanax) 1 tablet by mouth every evening at bedtime,310
1 drop in the right eye daily beginning 2 days prior to surgery,310
200mg 1 tablet by mouth twice a day,310
(Pravachol) 1 tablet by mouth every evening at bedtime,310
20mg one by mouth twice daily,310
8 mg orally every 8 hours as needed,309
150 mg by mouth twice a day,309
250 mg by mouth twice daily,309
1 applicatorful into the vagina as directed every evening at bedtime for 5 days,309
150mg one by mouth daily,309
100 MCG once daily,309
7.5mg by mouth twice daily,309
Use one daily as directed to inject growth hormone.,309
40 mg tab by mouth daily,309
apply three times a day,309
(Also Known As Ultram) 1 tablet by mouth three times a day,308
0.4 mg one by mouth daily,308
as needed for back pain,308
325 mg by mouth as needed,308
75mg one tablet daily,308
25 mg i po daily,308
1000mg 1 tablet daily,308
5mg 1tab by mouth daily ,308
30mg 1 tab po daily,308
10 mg twice daily by mouth,308
100 mg twice daily by mouth,308
(Also Known As Aromasin) 1 tablet by mouth daily,307
2 tablets by mouth daily for 1 day then 1 tablet by mouth daily for 4 day(s),307
apply qhs to face,307
21 mg TOPICAL once daily,307
600mg 1 tablet by mouth twice a day,307
1 tablet by mouth as needed for pain,307
2 sprays to each nostril daily,307
1 spray each nostril daily for 14days,307
apply to the face once daily,307
5000 IU once daily,307
as needed for chest pain,307
1 drop in the right eye every evening at bedtime,307
15mg one by mouth daily ,307
150mg once daily by mouth,307
35 units subcutaneously every evening at bedtime,307
15 mg at bedtime,307
10mg 1/2 tab daily,306
(Also Known As Flagyl) 1 tablet by mouth twice a day for 7 day(s),306
75 mg daily for until discontinued,306
2.5mg by mouth twice daily,306
(Also Known As Vitamin B-12) 1 tablet sublingually daily,306
4 capsules by mouth one time only,306
0.5 packet by mouth daily,306
75mg one tab by mouth daily,306
5 milliliters by mouth four times a day for 10 days,306
(Also Known As Reglan) 1 tablet by mouth three times a day,306
20mg 1 tab po bid,306
500mg tablet by mouth once daily ,306
30mg 1 tablet by mouth twice daily,306
(Also Known As Revatio) 1 tablet by mouth three times a day,306
20mg 1 tablet daily by mouth,306
37.5/25mg PO daily,306
1 puff from the inhaler twice a day for 30 day(s),306
1 tablet by mouth every 4-6 hours as needed for pain,306
(Ultram) 1 tablet by mouth every 6 hours as needed for pain,305
(Diflucan) 1 tablet by mouth one time only,305
2 sprays per nostril daily,305
(Also Known As Ultram) 2 tablets by mouth twice a day as needed for pain,305
1000 mg once a day,305
two tablets by mouth as needed,305
use as directed with inhaler,305
2.5mg 1 po daily,305
1 tablet by mouth every 4 hours for 3 days,305
10meq by mouth twice daily,305
325mg 1 tablet by mouth twice daily,304
1 suppository into the rectum as directed daily,304
325 mg tablet by mouth daily,304
Take 1 tablet by mouth 2 (two) times daily.,304
"100 mg in tube twice daily, at 10:00 and 18:00",304
(Also Known As Revatio) 1 tablet by mouth daily,304
25mg 1 tab PO bid,304
20 mg  Take 1 tablet by mouth daily,304
by mouth as directed as needed,304
250 mg orally every twelve hours,304
(Also Known As Zofran (as hydrochloride)) 1 tablet by mouth every 8 hours for 7 days as needed for nausea,304
20mg  once daily,303
0.125mg 1 tablet by mouth daily,303
300mg one by mouth daily,303
125mcg once daily,303
2puf for inhalation every 4 hours as needed,303
750mg by mouth daily,303
(Also Known As Adalat CC) 1 tablet by mouth twice a day,303
2 tablets on day #1 and 1 tablet daily for 4 more days,303
2 spray in the nose daily,303
500mg Take one tablet daily,303
apply to the affected and surrounding areas of skin by topical route 2 times per day,303
1 caplets by mouth daily,303
(Also Known As Femara) 2 tablets by mouth daily for 5 days,303
250 mg one tablet by mouth daily,303
(Also Known As Plaquenil) 1.5 tablets by mouth daily,303
5 mg 1 tab po daily,303
25mg  1 tab by mouth as needed,303
150 MG orally twice daily,303
(Also Known As Lipitor) 0.5 tablet by mouth daily,303
1 tablet by mouth q4h prn for 10 days,302
1-2 tablets by mouth every evening at bedtime as needed for insomnia,302
4mg 1 tablet by mouth twice daily,302
10mg one pill by mouth daily,302
5mg one tablet by mouth twice daily,302
